date,feed,ep_num,title
2016-11-19T00:00:00+00:00,main,84,Aliens of the Deep/Ghosts of the Abyss
2016-11-27T00:00:00+00:00,main,85,Avatar
2016-12-04T00:00:00+00:00,main,86,Toruk: The First Flight with Rachel Lang
2016-12-10T00:00:00+00:00,main,87,The Man Who Knew Too Little
2016-12-17T00:00:00+00:00,main,88,Rogue One: A Star Wars Story
2017-01-02T00:00:00+00:00,main,89,Best of the Phantom Podcast
2017-01-09T00:00:00+00:00,main,90,Best of the Attack of the Podcast
2017-01-16T00:00:00+00:00,main,91,Best of the Revenge of the Podcast
2017-01-22T00:00:00+00:00,main,92,Split
2017-01-29T00:00:00+00:00,main,93,The Lost World: Jurassic Park
2017-02-05T00:00:00+00:00,main,94,Amistad
2017-02-12T00:00:00+00:00,main,95,Saving Private Ryan with Richard Lawson
2017-02-17T00:00:00+00:00,main,96,The Second Annual Blank Check Awards with Joe Reid
2017-02-26T00:00:00+00:00,main,97,A.I. Artificial Intelligence with David Rees
2017-03-06T10:54:00+00:00,main,98,Minority Report with Joanna Robinson
2017-03-11T00:00:00+00:00,main,99,Catch Me If You Can
2017-03-18T00:00:00+00:00,main,100,Blank Check
2017-03-26T00:00:00+00:00,main,101,The Terminal with Jerah Milligan
2017-04-03T00:00:00+00:00,main,102,War of the Worlds with J.D. Amato
2017-04-10T00:00:00+00:00,main,103,Munich with Emily St. James
2017-04-16T00:00:00+00:00,main,104,Indiana Jones and the Kingdom of the Crystal Skull with David Ehrlich
2017-04-23T00:00:00+00:00,main,105,The Adventures of Tintin with Joe Garden
2017-04-30T00:00:00+00:00,main,106,War Horse with Pilot Viruet
2017-05-08T00:00:00+00:00,main,107,Lincoln
2017-05-14T00:00:00+00:00,main,108,Bridge of Spies
2017-05-21T00:00:00+00:00,main,109,The BFG
2017-05-29T00:00:00+00:00,main,110,Clifford
2017-06-05T00:00:00+00:00,main,111,Wonder Woman
2017-06-12T00:00:00+00:00,main,112,The First Blank Check Mailbag
2017-06-18T21:00:00+00:00,main,113,The Book of Henry
2017-06-25T21:00:00+00:00,main,114,Following
2017-07-02T21:00:00+00:00,main,115,Memento with Amy Nicholson
2017-07-09T21:00:00+00:00,main,116,Insomnia with Alex Ross Perry
2017-07-16T21:00:00+00:00,main,117,Batman Begins
2017-07-23T21:00:00+00:00,main,118,The Prestige with Alison Willmore
2017-07-30T21:00:00+00:00,main,119,The Dark Knight
2017-08-06T22:02:00+00:00,main,120,Inception
2017-08-13T21:00:00+00:00,main,121,The Dark Knight Rises
2017-08-20T21:00:00+00:00,main,122,Talking Maul Live @ DCM19 with Peter Serafinowicz
2017-08-27T21:00:00+00:00,main,123,Interstellar
2017-09-03T21:00:00+00:00,main,124,Dunkirk with Bilge Ebiri
2017-09-07T23:28:00+00:00,main,125,Here Today Gone Trevorrow - An Emergency Minisode
2017-09-10T21:05:00+00:00,main,126,The Devil Wears Prada with Romilly Newman
2017-09-17T21:00:00+00:00,main,127,The Loveless
2017-09-24T21:00:00+00:00,main,128,Near Dark with Mani Lazic
2017-10-01T21:00:00+00:00,main,129,Blue Steel with Jordan Hoffman
2017-10-08T21:00:00+00:00,main,130,Point Break with Lux Alptraum
2017-10-15T21:00:00+00:00,main,131,Strange Days with Emily Yoshida
2017-10-22T21:00:00+00:00,main,132,The Weight of Water with Karen Han and Emma Stefansky
2017-10-29T21:00:00+00:00,main,133,K-19: The Widowmaker with Richard Lawson
2017-11-05T22:00:00+00:00,main,134,The Hurt Locker with Sonia Saraiya
2017-11-12T22:00:00+00:00,main,135,Zero Dark Thirty with Demi Adejuyigbe
2017-11-19T22:00:00+00:00,main,136,Detroit with Black Men Can’t Jump In Hollywood
2017-11-26T22:20:00+00:00,main,137,Justice League
2017-12-03T22:00:00+00:00,main,138,Lost in Space with Joey Sims
2017-12-10T23:44:00+00:00,main,139,Avatarland/The Second Blank Check Mailbag
2017-12-18T05:01:00+00:00,main,140,The Last Jedi
2017-12-31T22:00:00+00:00,main,141,The Post
2018-01-07T22:00:00+00:00,main,142,Flesh+Blood
2018-01-14T22:00:00+00:00,main,143,RoboCop
2018-01-21T22:00:00+00:00,main,144,Total Recall with Andrew Jupin and Stephen Sajdak
2018-01-28T22:36:00+00:00,main,145,Basic Instinct with Miriam Bale
2018-02-04T22:00:00+00:00,main,146,The Third Annual Blank Check Awards with Joe Reid
2018-02-12T00:28:00+00:00,main,147,Showgirls with Caroline Framke
2018-02-18T23:15:00+00:00,main,148,Starship Troopers with J.D. Amato
2018-02-25T22:00:00+00:00,main,149,Hollow Man with Alex Ross Perry
2018-03-04T22:00:00+00:00,main,150,Elle with Emily Yoshida
2018-03-11T21:00:00+00:00,main,151,Running Scared with Paul Scheer
2018-03-15T08:00:00+00:00,main,152,March Madness 2018 Recap - Round 1
2018-03-18T21:00:00+00:00,main,153,Terms of Endearment with Valorie Curry
2018-03-25T22:44:00+00:00,main,154,Broadcast News with Katey Rich
2018-03-29T18:07:57+00:00,main,155,March Madness 2018 Recap - Round 3
2018-04-01T21:00:00+00:00,main,156,Ready Player One
2018-04-08T21:00:00+00:00,main,157,I'll Do Anything with Esther Zuckerman
2018-04-12T04:00:00+00:00,main,158,I’ll Do Anything: The Musical Cut with Esther Zuckerman
2018-04-15T21:00:00+00:00,main,159,As Good as It Gets with Chris Gethard
2018-04-22T21:00:00+00:00,main,160,Spanglish with Richard Lawson
2018-04-29T21:00:00+00:00,main,161,How Do You Know
2018-05-06T21:00:00+00:00,main,162,Josie and the Pussycats with Angela Ferraguto
2018-05-13T21:00:00+00:00,main,163,The Iron Giant
2018-05-20T21:00:00+00:00,main,164,The Incredibles with Rebecca Drysdale
2018-05-27T19:00:00+00:00,main,165,Solo: A Star Wars Story
2018-06-03T21:00:00+00:00,main,166,Ratatouille with Romilly Newman and Joey Sims
2018-06-10T21:00:00+00:00,main,167,Mission: Impossible – Ghost Protocol
2018-06-17T21:00:00+00:00,main,168,Tomorrowland
2018-06-24T21:00:00+00:00,main,169,Incredibles 2
2018-06-28T08:00:00+00:00,main,170,Family Dog - Amazing Stories
2018-07-01T21:00:00+00:00,main,171,Pushing Hands/The Wedding Banquet
2018-07-08T21:00:00+00:00,main,172,Eat Drink Man Woman with Alison Willmore
2018-07-15T21:00:00+00:00,main,173,Sense and Sensibility with Shirley Li
2018-07-22T21:10:00+00:00,main,174,Hotel Transylvania Trilogy
2018-07-29T21:00:00+00:00,main,175,The Ice Storm with Emily Yoshida
2018-08-05T21:01:00+00:00,main,176,Ride with the Devil with Peter Labuza
2018-08-12T21:54:00+00:00,main,177,"Crouching Tiger, Hidden Dragon with David Ehrlich"
2018-08-19T21:00:00+00:00,main,178,Hulk
2018-08-26T21:00:00+00:00,main,179,Brokeback Mountain with Las Culturistas
2018-09-02T21:00:00+00:00,main,180,"Lust, Caution with Chris Weitz"
2018-09-09T21:00:00+00:00,main,181,Taking Woodstock with Alex Ross Perry
2018-09-16T21:00:00+00:00,main,182,Life of Pi with Ray Tintori
2018-09-23T21:00:00+00:00,main,183,Billy Lynn's Long Halftime Walk with J.D. Amato
2018-09-27T08:00:00+00:00,main,184,Chosen - The Hire
2018-09-30T21:00:00+00:00,main,185,Space Jam with James Newman
2018-10-08T01:07:00+00:00,main,186,A Star Is Born
2018-10-14T21:00:00+00:00,main,187,The Parent Trap with Elena Lazic and Mani Lazic
2018-10-21T21:00:00+00:00,main,188,What Women Want with Lola Kirke
2018-10-28T21:00:00+00:00,main,189,Something's Gotta Give with Bobby Finger
2018-11-04T22:00:00+00:00,main,190,The Holiday with Fran Hoepfner
2018-11-11T22:00:00+00:00,main,191,It's Complicated with Sarah-Violet Bliss
2018-11-18T22:00:00+00:00,main,192,The Intern with Jamie Lee
2018-11-25T22:00:00+00:00,main,193,Home Again with Richard Lawson
2018-12-02T22:00:00+00:00,main,194,Ralph Breaks the Internet
2018-12-09T22:00:00+00:00,main,195,Pee-wee's Big Adventure
2018-12-16T22:00:00+00:00,main,196,Beetlejuice with Rebecca Bulnes
2018-12-18T10:34:52+00:00,patreon,1,Welcome to Blank Check: Special Features!
2018-12-23T22:00:00+00:00,main,197,Aquaman
2019-01-01T05:00:02+00:00,patreon,2,Iron Man
2019-01-06T09:00:00+00:00,main,198,Batman with K. Austin Collins
2019-01-11T05:00:02+00:00,patreon,3,The Third Blank Check Mailbag/Hulk Live @ Alamo Drafthouse Downtown Brooklyn with James Schamus
2019-01-13T09:00:00+00:00,main,199,Edward Scissorhands with Julio Torres
2019-01-21T00:06:00+00:00,main,200,Glass
2019-01-21T05:01:00+00:00,patreon,4,The Incredible Hulk
2019-01-27T05:00:00+00:00,main,201,Batman Returns with Emily Yoshida
2019-01-27T05:00:01+00:00,patreon,5,Kiss from a Rose with Emily Yoshida
2019-02-01T05:01:00+00:00,patreon,6,Iron Man 2
2019-02-03T05:00:00+00:00,main,202,Ed Wood with John Hodgman
2019-02-10T05:00:00+00:00,main,203,Mars Attacks! with Paul F. Tompkins
2019-02-11T05:00:01+00:00,patreon,7,What Men Want with Angela Ferraguto
2019-02-17T05:00:00+00:00,main,204,The Fourth Annual Blank Check Awards with Joe Reid
2019-02-21T05:08:18+00:00,patreon,8,Thor
2019-02-24T17:00:00+00:00,main,205,Sleepy Hollow with David Lowery
2019-03-01T05:01:01+00:00,patreon,9,Captain America: The First Avenger
2019-03-03T05:00:00+00:00,main,206,Planet of the Apes with Matt Singer
2019-03-10T05:00:00+00:00,main,207,Big Fish with Chris Gethard
2019-03-10T05:00:01+00:00,patreon,10,March Madness 2019 Recap - Round 1
2019-03-11T04:00:02+00:00,patreon,11,Corpse Bride with J.D. Amato
2019-03-17T08:00:00+00:00,main,208,Charlie and the Chocolate Factory with Pilot Viruet
2019-03-19T04:01:00+00:00,patreon,12,March Madness 2019 Recap - Round 2
2019-03-21T04:00:01+00:00,patreon,13,The Avengers
2019-03-24T04:00:00+00:00,main,209,Sweeney Todd: The Demon Barber of Fleet Street with Michael Cerveris
2019-03-24T04:01:00+00:00,patreon,14,The U.K. Bit with Michael Cerveris
2019-03-29T04:00:01+00:00,patreon,15,March Madness 2019 Recap - Round 3 with Alex Ross Perry
2019-03-31T05:44:00+00:00,main,210,Alice in Wonderland with Emily St. James
2019-04-01T04:01:00+00:00,patreon,16,Iron Man 3
2019-04-07T04:00:00+00:00,main,211,Dark Shadows with Jamie Loftus
2019-04-11T21:01:00+00:00,patreon,17,Frankenweenie with Jordan Fish
2019-04-14T04:00:00+00:00,main,212,Big Eyes with Richard Lawson
2019-04-21T04:00:00+00:00,main,213,Miss Peregrine's Home for Peculiar Children with Emma Stefansky
2019-04-21T04:00:01+00:00,patreon,18,Thor: The Dark World
2019-04-28T04:00:00+00:00,main,214,Dumbo with Karen Han
2019-05-01T04:01:00+00:00,patreon,19,Captain America: The Winter Soldier
2019-05-05T04:00:00+00:00,main,215,Assassin's Creed
2019-05-05T04:01:01+00:00,patreon,20,Assassin's Creed Outtakes
2019-05-11T18:26:40+00:00,patreon,21,Live at The Barclays Center
2019-05-12T04:00:00+00:00,main,216,Pokémon: Detective Pikachu with Dan Hernandez & Benji Samit
2019-05-19T04:00:00+00:00,main,217,Thief
2019-05-21T13:53:01+00:00,patreon,22,Guardians of the Galaxy
2019-05-26T04:00:00+00:00,main,218,The Keep with Alex Ross Perry
2019-06-01T17:55:43+00:00,patreon,23,Avengers: Age of Ultron
2019-06-02T04:00:00+00:00,main,219,Manhunter with Chris Cabin and Eric Szyszka
2019-06-09T04:00:00+00:00,main,220,The Last of the Mohicans with Dana Stevens
2019-06-11T04:00:01+00:00,patreon,24,The Jericho Mailbag
2019-06-16T04:00:00+00:00,main,221,Heat with Jon Gabrus
2019-06-21T04:01:00+00:00,patreon,25,Ant-Man
2019-06-23T04:00:00+00:00,main,222,The Insider with Andy Levy
2019-06-30T04:00:00+00:00,main,223,Ali with Jamelle Bouie
2019-07-01T04:00:02+00:00,patreon,26,Captain America: Civil War with Alejandro Kolleeny
2019-07-07T04:00:00+00:00,main,224,Collateral with Katey Rich
2019-07-11T04:33:44+00:00,patreon,27,"The Keep RPG with Angela Ferraguto, Alex Ross Perry and Emily Yoshida"
2019-07-14T04:00:00+00:00,main,225,Miami Vice
2019-07-21T04:00:00+00:00,main,226,The Lion King
2019-07-21T04:01:00+00:00,patreon,28,Doctor Strange
2019-07-28T05:00:00+00:00,main,227,Public Enemies with Fran Hoepfner
2019-08-01T04:00:00+00:00,main,228,Miami Vice - Pilot Episode
2019-08-01T04:00:02+00:00,patreon,29,Guardians of the Galaxy Vol. 2 with David Ehrlich
2019-08-04T04:00:00+00:00,main,229,Blackhat with Bilge Ebiri
2019-08-11T04:00:00+00:00,main,230,The Castle of Cagliostro
2019-08-11T04:16:02+00:00,patreon,30,Blank Check: Great Adventure
2019-08-18T04:00:00+00:00,main,231,Nausicaä of the Valley of the Wind with Lulu Wang
2019-08-21T04:03:32+00:00,patreon,31,Spider-Man: Homecoming with Alex Ross Perry
2019-08-25T04:00:00+00:00,main,232,Castle in the Sky with Emily Yoshida
2019-09-01T04:00:00+00:00,main,233,My Neighbor Totoro with J.D. Amato
2019-09-01T04:00:02+00:00,patreon,32,Thor: Ragnarok with Emma Stefansky
2019-09-08T04:00:00+00:00,main,234,Kiki's Delivery Service with Caroline Framke
2019-09-11T04:00:02+00:00,patreon,33,BC takes AC
