date,feed,ep_num,title,movie,guest
2017-03-06T10:54:34+00:00,main,98,Minority Report with Joanna Robinson,Minority Report,Joanna Robinson
2017-03-11T00:00:00+00:00,main,99,Catch Me If You Can,Catch Me If You Can,
2017-03-18T00:00:00+00:00,main,100,Blank Check,Blank Check,
2017-03-26T00:00:00+00:00,main,101,The Terminal with Jerah Milligan,The Terminal,Jerah Milligan
2017-04-03T00:00:00+00:00,main,102,War of the Worlds with J.D. Amato,War of the Worlds,J.D. Amato
2017-04-10T00:00:00+00:00,main,103,Munich with Todd VanDerWerff,Munich,Todd VanDerWerff
2017-04-16T00:00:00+00:00,main,104,Indiana Jones and the Kingdom of the Crystal Skull with David Ehrlich,Indiana Jones and the Kingdom of the Crystal Skull,David Ehrlich
2017-04-23T00:00:00+00:00,main,105,The Adventures of Tintin with Joe Garden,The Adventures of Tintin,Joe Garden
2017-04-30T00:00:00+00:00,main,106,War Horse with Pilot Viruet,War Horse,Pilot Viruet
2017-05-08T00:00:00+00:00,main,107,Lincoln,Lincoln,
2017-05-14T00:00:00+00:00,main,108,Bridge of Spies,Bridge of Spies,
2017-05-21T00:00:00+00:00,main,109,The BFG,The BFG,
2017-05-29T00:00:00+00:00,main,110,Clifford,Clifford,
2017-06-05T00:00:00+00:00,main,111,Wonder Woman,Wonder Woman,
2017-06-18T21:00:00+00:00,main,113,The Book of Henry,The Book of Henry,
2017-06-25T21:00:00+00:00,main,114,Following,Following,
2017-07-02T21:00:00+00:00,main,115,Memento with Amy Nicholson,Memento,Amy Nicholson
2017-07-09T21:00:00+00:00,main,116,Insomnia with Alex Ross Perry,Insomnia,Alex Ross Perry
2017-07-16T21:00:00+00:00,main,117,Batman Begins,Batman Begins,
2017-07-23T21:00:00+00:00,main,118,The Prestige with Alison Willmore,The Prestige,Alison Willmore
2017-07-30T21:00:00+00:00,main,119,The Dark Knight,The Dark Knight,
2017-08-06T22:02:29+00:00,main,120,Inception,Inception,
2017-08-13T21:00:00+00:00,main,121,The Dark Knight Rises,The Dark Knight Rises,
2017-08-27T21:00:00+00:00,main,123,Interstellar,Interstellar,
2017-09-03T21:00:00+00:00,main,124,Dunkirk with Bilge Ebiri,Dunkirk,Bilge Ebiri
2017-09-10T21:05:56+00:00,main,126,The Devil Wears Prada with Romilly Newman,The Devil Wears Prada,Romilly Newman
2017-09-17T21:00:00+00:00,main,127,The Loveless,The Loveless,
2017-09-24T21:00:00+00:00,main,128,Near Dark with Mani Lazic,Near Dark,Mani Lazic
2017-10-01T21:00:00+00:00,main,129,Blue Steel with Jordan Hoffman,Blue Steel,Jordan Hoffman
2017-10-08T21:00:00+00:00,main,130,Point Break with Lux Alptraum,Point Break,Lux Alptraum
2017-10-15T21:00:00+00:00,main,131,Strange Days with Emily Yoshida,Strange Days,Emily Yoshida
2017-10-22T21:00:00+00:00,main,132,The Weight of Water with Karen Han and Emma Stefansky,The Weight of Water,Karen Han and Emma Stefansky
2017-10-29T21:00:00+00:00,main,133,K-19: The Widowmaker with Richard Lawson,K-19: The Widowmaker,Richard Lawson
2017-11-05T22:00:00+00:00,main,134,The Hurt Locker with Sonia Saraiya,The Hurt Locker,Sonia Saraiya
2017-11-12T22:00:00+00:00,main,135,Zero Dark Thirty with Demi Adejuyigbe,Zero Dark Thirty,Demi Adejuyigbe
2017-11-19T22:00:00+00:00,main,136,Detroit with Black Men Can’t Jump In Hollywood,Detroit,Black Men Can’t Jump In Hollywood
2017-11-26T22:20:03+00:00,main,137,Justice League,Justice League,
2017-12-03T22:00:00+00:00,main,138,Lost in Space with Joey Sims,Lost in Space,Joey Sims
2017-12-18T05:01:00+00:00,main,140,The Last Jedi,The Last Jedi,
2017-12-31T22:00:00+00:00,main,141,The Post,The Post,
2018-01-07T22:00:00+00:00,main,142,Flesh+Blood,Flesh+Blood,
2018-01-14T22:00:00+00:00,main,143,RoboCop,RoboCop,
2018-01-21T22:00:00+00:00,main,144,Total Recall with Andrew Jupin and Stephen Sajdak,Total Recall,Andrew Jupin and Stephen Sajdak
2018-01-28T22:36:45+00:00,main,145,Basic Instinct with Miriam Bale,Basic Instinct,Miriam Bale
2018-02-12T00:28:14+00:00,main,147,Showgirls with Caroline Framke,Showgirls,Caroline Framke
2018-02-18T23:15:15+00:00,main,148,Starship Troopers with J.D. Amato,Starship Troopers,J.D. Amato
